,0,n,e,r,s
sel,0.28464163822525596,0.710580204778157,0.0027303754266211604,0.0,0.0020477815699658703
wer,0.30994152046783624,0.6081871345029239,0.011695906432748537,0.03508771929824561,0.03508771929824561
rge,0.058823529411764705,0.9401069518716577,0.0,0.0,0.0010695187165775401
huh,0.0,0.1185682326621924,0.8791946308724832,0.0,0.0022371364653243847
azi,0.08536585365853659,0.024390243902439025,0.0,0.0,0.8902439024390244
där,0.0,0.4117647058823529,0.5882352941176471,0.0,0.0
tön,0.0,0.6702508960573477,0.32974910394265233,0.0,0.0
räd,0.0,0.04487179487179487,0.0,0.9551282051282052,0.0
eid,0.010256410256410256,0.26666666666666666,0.08717948717948718,0.6307692307692307,0.005128205128205128
mme,0.1548791405550582,0.8433303491495077,0.0,0.0,0.0017905102954341987
ime,0.7891566265060241,0.16265060240963855,0.0,0.0,0.04819277108433735
thm,0.0,1.0,0.0,0.0,0.0
ow,0.0,1.0,0.0,0.0,0.0
ynn,1.0,0.0,0.0,0.0,0.0
ehl,0.00398406374501992,0.2549800796812749,0.7330677290836654,0.00796812749003984,0.0
dow,1.0,0.0,0.0,0.0,0.0
ras,0.5362318840579711,0.028985507246376812,0.2246376811594203,0.2028985507246377,0.007246376811594203
anz,0.003061224489795918,0.9908163265306122,0.006122448979591836,0.0,0.0
ave,0.0784313725490196,0.9215686274509803,0.0,0.0,0.0
irm,0.009009009009009009,0.2927927927927928,0.6936936936936937,0.0045045045045045045,0.0
och,0.023411371237458192,0.3311036789297659,0.11705685618729098,0.48494983277591974,0.043478260869565216
xel,0.15625,0.8229166666666666,0.0,0.0,0.020833333333333332
res,0.48869565217391303,0.008695652173913044,0.5026086956521739,0.0,0.0
elm,0.0,0.13793103448275862,0.8620689655172413,0.0,0.0
höh,0.0,0.967741935483871,0.0,0.03225806451612903,0.0
efe,0.25555555555555554,0.7444444444444445,0.0,0.0,0.0
sts,1.0,0.0,0.0,0.0,0.0
oks,1.0,0.0,0.0,0.0,0.0
ree,0.0,0.9784172661870504,0.0,0.0,0.02158273381294964
ont,0.005067567567567568,0.8327702702702703,0.037162162162162164,0.0,0.125
öhe,0.06329113924050633,0.9367088607594937,0.0,0.0,0.0
ver,0.6010362694300518,0.3853626943005181,0.0025906735751295338,0.0012953367875647669,0.009715025906735751
wag,0.0,0.9802513464991023,0.019748653500897665,0.0,0.0
tik,0.0,0.9989035087719298,0.0,0.0,0.0010964912280701754
aut,0.4369747899159664,0.5126050420168067,0.037815126050420166,0.004201680672268907,0.008403361344537815
uid,0.09375,0.0,0.03125,0.0,0.875
bär,0.022727272727272728,0.9772727272727273,0.0,0.0,0.0
rös,0.0,0.03571428571428571,0.9464285714285714,0.017857142857142856,0.0
ore,0.30726256983240224,0.6675977653631285,0.0,0.0,0.025139664804469275
ntr,0.007194244604316547,0.9892086330935251,0.0,0.0,0.0035971223021582736
züg,0.0,0.9873417721518988,0.012658227848101266,0.0,0.0
mbe,0.0,1.0,0.0,0.0,0.0
tie,0.011506276150627616,0.946652719665272,0.0,0.0,0.04184100418410042
fos,0.9969135802469136,0.0030864197530864196,0.0,0.0,0.0
los,0.5585585585585585,0.3783783783783784,0.02702702702702703,0.02702702702702703,0.009009009009009009
opp,0.012195121951219513,0.012195121951219513,0.0,0.0,0.975609756097561
ork,0.05069124423963134,0.11059907834101383,0.0,0.0,0.8387096774193549
oud,0.9753810082063306,0.0,0.0,0.0,0.0246189917936694
ayd,0.0,0.6,0.0,0.4,0.0
uro,0.8984771573604061,0.005076142131979695,0.0,0.0,0.09644670050761421
rüf,0.0,1.0,0.0,0.0,0.0
uum,0.018867924528301886,0.9811320754716981,0.0,0.0,0.0
eer,0.017421602787456445,0.5156794425087108,0.3693379790940767,0.0,0.0975609756097561
